;COUNTRY CODE;NUTS LEVEL;NUTS CODE;NUTS LABEL;;;URL
0;CZ;3;CZ010;Hlavní město Praha;http://www.wikidata.org/entity/Q1085;Point(14.416666666667 50.083333333333);https://linkedopendata.eu/entity/Q44
1;CZ;3;CZ020;Středočeský kraj;http://www.wikidata.org/entity/Q188399;Point(14.5 49.966666666667);https://linkedopendata.eu/entity/Q4859
2;CZ;3;CZ031;Jihočeský kraj;http://www.wikidata.org/entity/Q188373;Point(14.666666666667 49.083333333333);https://linkedopendata.eu/entity/Q4860
3;CZ;3;CZ032;Plzeňský kraj;http://www.wikidata.org/entity/Q46070;Point(13.2 49.7);https://linkedopendata.eu/entity/Q4861
4;CZ;3;CZ041;Karlovarský kraj;http://www.wikidata.org/entity/Q191091;Point(12.7 50.2);https://linkedopendata.eu/entity/Q4862
5;CZ;3;CZ042;Ústecký kraj;http://www.wikidata.org/entity/Q192702;Point(13.85 50.5);https://linkedopendata.eu/entity/Q4863
6;CZ;3;CZ051;Liberecký kraj;http://www.wikidata.org/entity/Q193266;Point(15 50.7);https://linkedopendata.eu/entity/Q4864
7;CZ;3;CZ052;Královéhradecký kraj;http://www.wikidata.org/entity/Q193295;Point(15.8 50.4);https://linkedopendata.eu/entity/Q4865
8;CZ;3;CZ053;Pardubický kraj;http://www.wikidata.org/entity/Q193317;Point(16.2 49.9);https://linkedopendata.eu/entity/Q4866
9;CZ;3;CZ063;Kraj Vysočina;http://www.wikidata.org/entity/Q190930;Point(15.7 49.4);https://linkedopendata.eu/entity/Q4867
10;CZ;3;CZ064;Jihomoravský kraj;https://www.wikidata.org/wiki/Q192697;Point(16.214872396986 48.896626173199);https://linkedopendata.eu/entity/Q4868
11;CZ;3;CZ071;Olomoucký kraj;http://www.wikidata.org/entity/Q193307;Point(17.1 49.716666666667);https://linkedopendata.eu/entity/Q4869
12;CZ;3;CZ072;Zlínský kraj;http://www.wikidata.org/entity/Q192536;Point(17.7 49.2);https://linkedopendata.eu/entity/Q4871
13;CZ;3;CZ080;Moravskoslezský kraj;http://www.wikidata.org/entity/Q190550;Point(18 49.8);https://linkedopendata.eu/entity/Q4870
14;DK;2;DK01;Hovedstaden;http://www.wikidata.org/entity/Q26073;Point(12.3 55.939833333333);https://linkedopendata.eu/entity/Q1964
15;DK;2;DK02;Sjælland;http://www.wikidata.org/entity/Q26589;Point(11.833333333333 55.166666666667);https://linkedopendata.eu/entity/Q1961
16;DK;2;DK03;Syddanmark;http://www.wikidata.org/entity/Q26061;Point(9.6666666666667 55.333333333333);https://linkedopendata.eu/entity/Q1960
17;DK;2;DK04;Midtjylland;http://www.wikidata.org/entity/Q26586;Point(9.5 56.166666666667);https://linkedopendata.eu/entity/Q1963
18;DK;2;DK05;Nordjylland;http://www.wikidata.org/entity/Q26067;Point(9.67 57.18);https://linkedopendata.eu/entity/Q1962
19;FR;1;FR1;Île-de-France;http://www.wikidata.org/entity/Q13917;Point(2.3176 48.8522);https://linkedopendata.eu/entity/Q2530448
20;FR;1;FRB;Centre-Val de Loire;http://www.wikidata.org/entity/Q13947;Point(1.75 47.5);https://linkedopendata.eu/entity/Q3526
21;FR;1;FRC;Bourgogne-Franche-Comté;http://www.wikidata.org/entity/Q18578267;Point(6.0305 47.234527777);https://linkedopendata.eu/entity/Q3525
22;FR;1;FRD;Normandie;http://www.wikidata.org/entity/Q18677875;Point(-0.352777777 49.186388888);https://linkedopendata.eu/entity/Q3519
23;FR;1;FRE;Hauts-de-France;http://www.wikidata.org/entity/Q18677767;Point(2.7029777 49.9205573);https://linkedopendata.eu/entity/Q3537
24;FR;1;FRF;Grand Est;http://www.wikidata.org/entity/Q18677983;Point(7.7599 48.5989);https://linkedopendata.eu/entity/Q3516
25;FR;1;FRG;Pays de la Loire;http://www.wikidata.org/entity/Q16994;Point(-0.833333333 47.466666666);https://linkedopendata.eu/entity/Q3538
26;FR;1;FRH;Bretagne;http://www.wikidata.org/entity/Q12130;Point(-3.0 48.0);https://linkedopendata.eu/entity/Q3487
27;FR;1;FRI;Nouvelle-Aquitaine;http://www.wikidata.org/entity/Q18678082;Point(-0.5888 44.8366);https://linkedopendata.eu/entity/Q1089
28;FR;1;FRJ;Occitanie;http://www.wikidata.org/entity/Q18678265;Point(2.343568369 43.648785141);https://linkedopendata.eu/entity/Q1090
29;FR;1;FRK;Auvergne-Rhône-Alpes;http://www.wikidata.org/entity/Q18338206;Point(4.8195 45.7402);https://linkedopendata.eu/entity/Q3521
30;FR;1;FRL;Provence-Alpes-Côte d'Azur;http://www.wikidata.org/entity/Q15104;Point(6.0 44.0);https://linkedopendata.eu/entity/Q3529
31;FR;1;FRM;Corse;http://www.wikidata.org/entity/Q14112;Point(9.083333333 42.15);https://linkedopendata.eu/entity/Q3528
32;FR;2;FRY1;Guadeloupe;http://www.wikidata.org/entity/Q17012;POINT(16.0 62.0);https://linkedopendata.eu/entity/Q2577038
33;FR;2;FRY2;Martinique ;http://www.wikidata.org/entity/Q17054;Point(-61.0 14.666666666);https://linkedopendata.eu/entity/Q198
34;FR;2;FRY3;Guyane;http://www.wikidata.org/entity/Q3769;Point(-52.99994 3.99886);https://linkedopendata.eu/entity/Q201
35;FR;2;FRY4;La Réunion ;http://www.wikidata.org/entity/Q17070;Point(55.5325 -21.114444444);https://linkedopendata.eu/entity/Q206
36;FR;2;FRY5;Mayotte;http://www.wikidata.org/entity/Q17063;Point(45.138333333 -12.843055555);https://linkedopendata.eu/entity/Q2576961
37;IE;3;IE041;Border;http://www.wikidata.org/entity/Q4944607;Point(-7.357444444 53.963472222);https://linkedopendata.eu/entity/Q2501480
38;IE;3;IE042;West;http://www.wikidata.org/entity/Q7986331;Point(-8.9570134 53.669328);https://linkedopendata.eu/entity/Q2501419
39;IE;3;IE051;Mid-West ;http://www.wikidata.org/entity/Q6840838;Point(-8.4394373 52.5768684);https://linkedopendata.eu/entity/Q2501296
40;IE;3;IE052;South-East ;http://www.wikidata.org/entity/Q7565274;Point(-7.328611111 52.463055555);https://linkedopendata.eu/entity/Q2501302
41;IE;3;IE053;South-West ;http://www.wikidata.org/entity/Q7565299;Point(-9.0639437 52.0604906);https://linkedopendata.eu/entity/Q2501351
